Text,Rätt Kategori,Modell_Kategori,Tid (s),Rätt,Model,Antal Artiklar,Korrekt Klassifikation,Accuracy,Precision,Recall,CPU,GPU,Genomsnitt tid för artiklar
SUMMARY,,,0.24,786/2225,Mistral:7b,2225.0,786.0,35.33%,0.65%,0.31%,AMD Ryzen 7 9800X3D 8-Core Processor(4.70 GHz), RTX 4080-SUPER 16GB Vram,0.24 s
  prompt
    Läs följande nyhetsartikel och kategorisera den i EN enkel kategori:
    
    
    Viktigt:
    - Svara endast med en kategori (t.ex. Politik, Sport, Hälsa, Ekonomi, Kultur, etc.)
    - Svara bara med en kategori, skriv ej Bussiness (economy) exempelvis utan endast svara med EN kategori
    - Svara på Engelska
    - Om du tänker klassifiera kategorin som ekonomi skriv istället "business".
    
"Ad sales boost Time Warner profit

Quarterly profits at US media giant TimeWarner jumped 76% to $1.13bn (£600m) for the ...",business,Economy,0.49,False,,,,,,,,,
"Dollar gains on Greenspan speech

The dollar has hit its highest level against the euro in almost three months after the...",business,The article can be categorized under 'Business'.,0.26,False,,,,,,,,,
"Yukos unit buyer faces loan claim

The owners of embattled Russian oil giant Yukos are to ask the buyer of its former pr...",business,Business,0.17,True,,,,,,,,,
"High fuel prices hit BA's profits

British Airways has blamed high fuel prices for a 40% drop in profits.

Reporting its...",business,Business,0.19,True,,,,,,,,,
"Pernod takeover talk lifts Domecq

Shares in UK drinks and food firm Allied Domecq have risen on speculation that it cou...",business,Economy,0.19,False,,,,,,,,,
"Japan narrowly escapes recession

Japan's economy teetered on the brink of a technical recession in the three months to ...",business,Economy,0.15,False,,,,,,,,,
"Jobs growth still slow in the US

The US created fewer jobs than expected in January, but a fall in jobseekers pushed th...",business,Economy,0.18,False,,,,,,,,,
"India calls for fair trade rules

India, which attends the G7 meeting of seven leading industrialised nations on Friday,...",business,Business,0.18,True,,,,,,,,,
"Ethiopia's crop production up 24%

Ethiopia produced 14.27 million tonnes of crops in 2004, 24% higher than in 2003 and ...",business,Business,0.15,True,,,,,,,,,
"Court rejects $280bn tobacco case

A US government claim accusing the country's biggest tobacco companies of covering up...",business,Business,0.14,True,,,,,,,,,
"Ask Jeeves tips online ad revival

Ask Jeeves has become the third leading online search firm this week to thank a reviv...",business,Business,0.14,True,,,,,,,,,
"Indonesians face fuel price rise

Indonesia's government has confirmed it is considering raising fuel prices by as much ...",business,Economy,0.19,False,,,,,,,,,
